Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
21/12/2016,92.18,93.102,90.892,91.318,524354
22/12/2016,89.603,91.863,88.909,91.833,731289
23/12/2016,91.675,91.982,89.97,90.396,372784
27/12/2016,90,91.377,89.95,91.189,444361
28/12/2016,91.714,92.478,91.179,91.189,764060
29/12/2016,91.189,92.448,90.892,90.892,370034
30/12/2016,91.288,92.18,90.971,91.665,380448
02/01/2017,91.665,91.833,90.803,91.358,172408
03/01/2017,92.676,95.025,92.25,93.171,1076670
04/01/2017,93.717,95.253,93.072,95.154,1135399
05/01/2017,95.154,95.907,94.361,94.965,858176
09/01/2017,94.628,95.451,94.361,95.154,490769
10/01/2017,96.046,99.96,96.046,99.317,1613544
11/01/2017,100.11,105.07,99.96,104.92,2557120
12/01/2017,105.36,108.34,105.21,107.15,3183435
13/01/2017,107.25,108.83,105.81,108.04,1295742
16/01/2017,108.04,110.76,108.04,109.03,1199254
17/01/2017,107.3,109.53,106.16,108.78,1120862
18/01/2017,108.53,113.74,108.04,112.35,1983766
19/01/2017,112.85,113.49,110.32,111.71,1200555
20/01/2017,111.01,112,110.72,111.95,865823
23/01/2017,112.5,113.44,111.9,112,538572
24/01/2017,112.2,116.96,112.1,116.56,1751805
25/01/2017,117.95,121.57,117.95,121.57,2139144
26/01/2017,122.41,124.29,120.33,120.97,1520906
